city,run_id
Barcelona,ERR2607442
Barcelona,ERR2607445
Barcelona,ERR2607446
Barcelona,ERR2607447
Barcelona,ERR4678573
Berlin,ERR2607431
Berlin,ERR2607435
Berlin,ERR4682375
Berlin,ERR4682882
Berlin,ERR9855092
Hanoi,ERR2683178
Hong Kong,ERR2683167
Hong Kong,ERR4682367
Ilorin,ERR2683122
Ilorin,ERR2683124
Ilorin,ERR4678641
Ilorin,ERR4678645
Ilorin,ERR4682457
Kuala Lumpur,ERR2683134
Kuala Lumpur,ERR4682850
Kuala Lumpur,ERR8977347
Kuala Lumpur,ERR8977369
Kuala Lumpur,ERR9855085
Lisbon,ERR2683203
Lisbon,ERR4678584
Lisbon,ERR4682335
Lisbon,ERR4682794
Oslo,ERR2607515
Oslo,ERR2607516
Oslo,ERR2607517
Oslo,ERR2683162
Oslo,ERR4682370
Porto,ERR2683150
Porto,ERR4678650
Porto,ERR4682406
Porto,ERR4682820
Rio de Janeiro,ERR4678595
Rio de Janeiro,ERR4682891
Rio de Janeiro,ERR4682892
Santiago,ERR4678640
Santiago,ERR4678649
Santiago,ERR4682429
Santiago,ERR4682859
Santiago,ERR4682860
Singapore,ERR2607527
Singapore,ERR2607528
Singapore,ERR4678666
Singapore,ERR4682772
Singapore,ERR4682886
Sofia,ERR2607388
Sofia,ERR2607390
Sofia,ERR2607391
Sofia,ERR2683157
Sofia,ERR4682813
Taipei,ERR2683273
Taipei,ERR4678616
Taipei,ERR4682380
Taipei,ERR4682825
Vienna,ERR2607385
Vienna,ERR2607386
Vienna,ERR2607387
Vienna,ERR4682334
Vienna,ERR4682791
Bogota,ERR1713346
