feature	Lisbon	Barcelona	Berlin	Hong_Kong	Porto	Santiago	Singapore	Sofia	Taipei	Vienna	Bogota	Hanoi	Ilorin	Kuala_Lumpur	Oslo	Rio_de_Janeiro
23S rRNA methyltransferases,ERMB	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
23S rRNA methyltransferases,ERMF	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0
Acetate resistance protein,ICLR	0	0	1	1	0	0	1	0	0	1	1	1	0	0	0	0
Acetate resistance protein,LPDT	0	0	0	1	0	1	1	0	1	1	1	1	1	1	0	0
Acid resistance protein,ASR	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0
Acid resistance protein,EEFA	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0
Acid resistance protein,EEFX	1	0	1	1	0	0	1	0	1	0	0	1	0	1	0	0
Acid resistance protein,GADA	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0
Acid resistance protein,GADB	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0
Acid resistance protein,GADC	1	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0
Acid resistance protein,HDEA	0	0	0	1	0	0	1	0	1	0	1	0	1	1	1	0
Acid resistance protein,HDEB	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1
Acid resistance protein,YDEP	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0
Acid resistance regulator,EVGA	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0
Acid resistance regulator,GADE	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0
Aminocoumarin-resistant DNA topoisomerases,GYRBA	1	0	0	1	0	1	1	1	1	0	1	1	0	1	0	1
Aminocoumarin-resistant DNA topoisomerases,PARE	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1
Aminoglycoside N-acetyltransferases,AAC3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Aminoglycoside N-acetyltransferases,AAC6-PRIME	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0
Aminoglycoside O-nucleotidyltransferases,ANT6	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Aminoglycoside O-phosphotransferases,APH3-DPRIME	1	1	0	1	0	0	1	1	1	0	0	1	1	1	0	0
Aminoglycoside O-phosphotransferases,APH6	1	1	0	0	1	1	1	1	0	0	0	1	0	1	0	0
Aminoglycoside efflux pumps,KDPE	0	0	0	1	0	0	1	0	1	1	1	1	1	1	0	0
Aminoglycoside-resistant 16S ribosomal subunit protein,A16S	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Aminoglycoside-resistant 16S ribosomal subunit protein,RPSL	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	0
Aminoglycoside-resistant 16S ribosomal subunit protein,RRS	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
Aminoglycoside-resistant 16S ribosomal subunit protein,RRSA	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1
Aminoglycoside-resistant 16S ribosomal subunit protein,RRSC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Aminoglycoside-resistant 16S ribosomal subunit protein,RRSH	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Arsenic resistance protein,PSTA	1	0	1	1	1	1	1	0	1	0	1	1	0	1	0	1
Arsenic resistance protein,PSTB	1	1	1	1	1	0	1	1	1	0	1	1	0	1	0	1
Arsenic resistance protein,PSTC	1	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0
Arsenic resistance protein,PSTS	0	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0
Arsenic resistance regulator,ARSR	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0
Biguanide cation efflux,CEPAB	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0
Biocide and metal ABC efflux pumps,FETA	0	0	0	1	0	1	1	0	1	0	1	1	0	0	0	0
Biocide and metal ABC efflux pumps,FETB	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0
Biocide and metal ABC efflux pumps,SITABCD	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Biocide and metal resistance protein,DPR	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Biocide and metal resistance protein,GLPF	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0
Biocide and metal resistance protein,RUVB	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0
