"City","Sewage_original_total","Transit_original_total","Pairwise_min_target_total"
"Barcelona",8616,14498,8616
"Berlin",12124,7758,7758
"Bogota",8184,5885,5885
"Hanoi",41732,10875,10875
"Hong_Kong",23381,9012,9012
"Ilorin",4296,27929,4296
"Kuala_Lumpur",15470,24455,15470
"Lisbon",23692,22076,22076
"Oslo",15774,4016,4016
"Porto",21153,5094,5094
"Rio_de_Janeiro",6342,19925,6342
"Santiago",19927,3724,3724
"Singapore",32266,2268,2268
"Sofia",19903,12333,12333
"Taipei",23348,3129,3129
"Vienna",20745,8841,8841
