City,Sewage_original_total,Transit_original_total,Pairwise_min_target_total,Sewage_matched_total,Transit_matched_total,Matching_verified
Barcelona,8616,14498,8616,8616,8616,TRUE
Berlin,12124,7758,7758,7758,7758,TRUE
Bogota,8184,5885,5885,5885,5885,TRUE
Hanoi,41732,10875,10875,10875,10875,TRUE
Hong_Kong,23381,9012,9012,9012,9012,TRUE
Ilorin,4296,27929,4296,4296,4296,TRUE
Kuala_Lumpur,15470,24455,15470,15470,15470,TRUE
Lisbon,23692,22076,22076,22076,22076,TRUE
Oslo,15774,4016,4016,4016,4016,TRUE
Porto,21153,5094,5094,5094,5094,TRUE
Rio_de_Janeiro,6342,19925,6342,6342,6342,TRUE
Santiago,19927,3724,3724,3724,3724,TRUE
Singapore,32266,2268,2268,2268,2268,TRUE
Sofia,19903,12333,12333,12333,12333,TRUE
Taipei,23348,3129,3129,3129,3129,TRUE
Vienna,20745,8841,8841,8841,8841,TRUE
