feature	Lisbon	Barcelona	Berlin	Hong_Kong	Porto	Santiago	Singapore	Sofia	Taipei	Vienna	Bogota	Hanoi	Ilorin	Kuala_Lumpur	Oslo	Rio_de_Janeiro
23S rRNA methyltransferases,ERMB	597	60	108	13	205	5	19	102	7	527	0	0	0	0	0	0
23S rRNA methyltransferases,ERMF	0	14	0	33	0	0	7	0	68	0	0	0	0	0	0	0
Acetate resistance protein,ICLR	0	0	10	30	0	0	14	0	0	7	16	22	0	0	0	0
Acetate resistance protein,LPDT	0	0	0	104	0	30	64	0	44	24	64	62	30	32	0	0
Acid resistance protein,ASR	0	0	0	3	0	0	4	0	5	4	3	0	0	0	0	0
Acid resistance protein,EEFA	0	0	0	46	0	0	57	0	0	0	0	32	0	35	0	0
Acid resistance protein,EEFX	2	0	1	3	0	0	2	0	2	0	0	1	0	2	0	0
Acid resistance protein,GADA	0	0	0	37	0	0	45	0	27	0	44	27	0	31	0	0
Acid resistance protein,GADB	0	0	0	32	0	0	24	0	30	0	32	33	0	0	0	0
Acid resistance protein,GADC	18	0	0	25	0	0	18	0	19	0	37	26	0	0	0	0
Acid resistance protein,HDEA	0	0	0	11	0	0	9	0	7	0	4	0	2	7	2	0
Acid resistance protein,HDEB	0	0	0	5	0	0	0	0	0	0	3	3	0	0	0	6
Acid resistance protein,YDEP	0	0	0	70	0	0	51	0	34	0	49	43	0	31	0	0
Acid resistance regulator,EVGA	0	0	0	19	0	0	0	0	10	0	14	13	0	0	0	0
Acid resistance regulator,GADE	0	0	0	19	0	0	11	0	0	0	18	0	0	9	3	0
Aminocoumarin-resistant DNA topoisomerases,GYRBA	51	0	0	113	0	41	121	31	58	0	104	79	0	44	0	29
Aminocoumarin-resistant DNA topoisomerases,PARE	0	0	0	82	0	0	152	0	38	0	0	54	0	51	0	24
Aminoglycoside N-acetyltransferases,AAC3	0	0	0	0	7	0	0	0	0	0	0	33	0	0	0	0
Aminoglycoside N-acetyltransferases,AAC6-PRIME	0	0	0	0	0	0	0	0	9	3	0	0	0	0	0	0
Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME	85	40	0	59	33	9	61	55	25	53	0	58	23	0	12	0
Aminoglycoside O-nucleotidyltransferases,ANT6	14	0	16	66	37	11	36	20	121	37	21	27	238	69	11	0
Aminoglycoside O-phosphotransferases,APH3-DPRIME	50	14	0	13	0	0	25	46	7	0	0	134	14	10	0	0
Aminoglycoside O-phosphotransferases,APH6	49	11	0	0	34	8	52	38	0	0	0	118	0	32	0	0
Aminoglycoside efflux pumps,KDPE	0	0	0	22	0	0	15	0	10	5	14	16	8	9	0	0
Aminoglycoside-resistant 16S ribosomal subunit protein,A16S	2897	1441	2090	2744	3197	3623	4309	3101	2965	2744	210	5441	651	2171	2929	1127
Aminoglycoside-resistant 16S ribosomal subunit protein,RPSL	16	0	0	27	10	6	42	0	19	6	13	28	0	18	5	0
Aminoglycoside-resistant 16S ribosomal subunit protein,RRS	0	0	0	0	0	0	0	0	42	0	0	0	45	0	0	0
Aminoglycoside-resistant 16S ribosomal subunit protein,RRSA	157	68	0	0	118	0	0	0	90	0	0	0	81	0	0	74
Aminoglycoside-resistant 16S ribosomal subunit protein,RRSC	257	127	146	444	328	405	568	318	405	195	135	878	83	287	232	134
Aminoglycoside-resistant 16S ribosomal subunit protein,RRSH	307	149	182	443	455	597	742	465	612	313	141	1355	71	266	322	166
Arsenic resistance protein,PSTA	24	0	17	42	15	19	50	0	21	0	30	39	0	30	0	20
Arsenic resistance protein,PSTB	18	8	13	45	13	0	58	8	27	0	22	25	0	18	0	14
Arsenic resistance protein,PSTC	14	0	0	42	16	18	46	0	28	11	29	42	0	19	0	0
Arsenic resistance protein,PSTS	0	0	0	25	11	0	55	0	39	0	43	15	0	0	0	0
Arsenic resistance regulator,ARSR	0	0	0	6	0	0	4	0	6	0	9	4	0	5	0	0
Biguanide cation efflux,CEPAB	0	0	0	43	0	0	52	0	14	0	0	27	0	29	0	0
Biocide and metal ABC efflux pumps,FETA	0	0	0	18	0	6	16	0	7	0	26	14	0	0	0	0
Biocide and metal ABC efflux pumps,FETB	0	0	0	35	0	0	21	0	0	0	15	9	0	0	0	0
Biocide and metal ABC efflux pumps,SITABCD	0	0	0	56	0	0	0	0	0	0	53	0	0	0	0	0
Biocide and metal resistance protein,DPR	56	0	0	0	19	0	0	0	0	18	0	0	0	0	0	0
Biocide and metal resistance protein,GLPF	0	0	0	26	0	0	11	0	0	0	24	14	0	0	0	0
Biocide and metal resistance protein,RUVB	0	0	0	0	78	462	206	134	39	0	0	434	0	0	0	0
Biocide and metal resistance protein,TEHA	0	0	0	26	0	0	24	0	0	9	13	16	0	9	0	0
Biocide and metal resistance protein,TEHB	0	0	6	11	8	0	9	0	0	0	10	8	0	5	0	11
Biocide and metal resistance protein,YCHH	4	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0
Biocide and metal resistance protein,YGIW	0	0	3	17	0	0	8	0	6	4	0	5	5	0	0	0
Biocide and metal resistance protein,YHCN	0	0	0	0	0	0	0	0	8	0	3	0	0	0	0	0
Biocide and metal resistance protein,YIEF	0	0	0	17	0	0	16	0	16	0	20	19	0	0	0	0
Biocide and metal resistance protein,YJAA	0	0	0	7	0	0	0	0	0	0	6	0	0	0	0	0
Biocide and metal resistance protein,YODB	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0
Biocide and metal resistance protein,ZUPT	0	0	0	0	0	0	28	0	9	0	26	0	0	8	0	0
Cationic peptide-resistant 16S ribosomal subunit protein,CAP16S	247	128	164	442	320	425	565	346	405	229	175	867	73	238	225	144
Chloramphenicol acetyltransferases,CAT	6	0	0	0	0	0	26	0	12	0	0	0	8	0	0	0
Chloramphenicol acetyltransferases,CATB	0	0	0	0	0	0	15	0	4	0	0	32	0	0	0	0
Chromium resistance protein,NFSA	0	0	0	16	0	0	19	0	0	0	21	14	0	12	0	0
Class A betalactamases,ACI	0	0	0	0	0	0	16	0	13	0	28	0	0	23	0	0
Class A betalactamases,BLAA	0	16	15	10	19	0	77	0	26	45	16	75	0	107	0	35
Class A betalactamases,BRO	14	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
Class A betalactamases,CARB	0	61	0	33	0	0	0	21	0	0	0	0	62	0	0	0
Class A betalactamases,CFX	0	0	0	0	0	10	0	0	13	0	22	0	10	0	0	0
Class A betalactamases,CTX	209	65	101	808	75	25	932	31	404	61	132	463	37	472	20	114
Class B betalactamases,AIM	0	0	24	9	0	0	0	0	0	0	0	0	0	8	0	0
Class C betalactamase regulator,AMPCR	1	0	0	2	0	0	0	0	1	0	0	1	0	2	0	0
Class C betalactamases,BLAEC	0	0	0	0	0	0	10	0	0	0	10	0	0	0	0	0
Class C betalactamases,MCA	195	33	42	24	80	35	0	129	11	129	0	45	0	0	22	0
Class D betalactamases,OXA	79	26	23	7	24	8	45	115	0	43	0	240	105	97	59	0
Colistin phosphoethanolamine transferase,ARNT	0	0	0	61	0	0	109	0	41	0	0	34	0	51	0	0
Colistin phosphoethanolamine transferase,EPTB	0	0	0	60	0	0	103	0	49	0	0	44	0	38	0	0
Colistin phosphoethanolamine transferase,ICR	49	0	0	21	41	0	0	111	32	39	0	109	0	45	0	29
Colistin phosphoethanolamine transferase,MCR	0	0	0	13	0	0	478	0	0	0	0	0	0	0	0	0
Colistin-resistant mutant,LPXC	0	0	0	0	0	0	0	0	0	30	0	21	0	0	0	0
Colistin-resistant mutant,PMRAR	0	0	0	34	0	0	11	0	11	6	22	11	0	13	0	0
Copper resistance protein,COPA	53	27	158	76	41	79	140	90	35	99	41	40	0	79	82	0
Copper resistance protein,COPB	0	0	0	0	0	29	14	0	0	0	0	0	0	0	0	0
Copper resistance protein,COPC	19	0	71	0	11	24	11	30	15	31	0	0	0	12	24	7
Copper resistance protein,COPD	0	0	25	0	18	47	9	0	0	0	0	0	0	0	0	0
Copper resistance protein,CUEO	0	0	0	48	0	0	44	0	33	0	42	44	0	22	0	17
Copper resistance protein,CUTA	7	0	0	5	0	0	5	4	4	0	11	0	0	0	0	0
Copper resistance protein,CUTC	0	0	0	16	0	9	10	0	0	0	0	24	0	0	0	0
Copper resistance protein,CUTE	0	0	0	60	0	0	46	0	35	0	52	24	12	17	0	0
Copper resistance protein,CUTF	0	0	0	23	0	0	18	0	10	0	20	11	0	0	0	8
Copper resistance protein,PCOA	28	0	30	77	29	0	111	0	40	0	0	54	0	31	0	26
Copper resistance protein,PCOB	0	13	0	36	7	0	71	0	17	8	0	0	0	23	0	13
Copper resistance protein,PCOC	0	0	5	13	8	0	19	0	0	0	0	8	0	0	0	0
Copper resistance protein,PCOD	18	0	11	34	0	0	36	0	14	0	12	14	0	16	0	0
Copper resistance protein,TCRA	238	36	0	25	139	0	27	33	0	285	0	0	0	0	105	0
Copper resistance protein,TCRB	80	0	0	0	0	0	0	0	0	212	0	0	0	0	104	0
Copper resistance protein,TCRY	22	9	0	0	8	0	5	0	0	48	0	0	0	0	10	0
Copper resistance protein,TCRZ	10	6	0	0	8	0	0	0	0	22	0	0	0	0	4	0
Copper resistance regulator,BHSA	0	0	0	0	5	0	0	0	6	0	4	3	2	2	0	0
Copper resistance regulator,COMR	0	0	0	13	0	0	16	0	10	0	14	12	0	6	0	0
Copper resistance regulator,COPR	23	0	57	12	16	23	18	40	0	49	0	0	5	27	0	0
Copper resistance regulator,COPS	19	0	98	0	20	43	39	41	0	48	0	15	0	30	25	0
Copper resistance regulator,CUER	0	0	0	10	0	0	7	0	0	4	7	8	4	3	0	0
Copper resistance regulator,PCOR	7	9	0	15	0	0	37	0	9	0	0	11	0	19	0	0
Copper resistance regulator,PCOS	26	0	0	54	32	0	89	0	24	0	16	41	0	40	10	0
Dihydrofolate reductase,DFRA	0	0	0	0	0	0	0	0	13	0	0	36	0	0	0	4
Drug and biocide ABC efflux pumps,YOGI	0	0	0	45	0	0	35	0	22	0	31	38	16	28	0	0
Drug and biocide ABC efflux regulator,PHOB	0	0	0	17	0	0	29	0	0	0	0	21	0	0	0	0
Drug and biocide MATE efflux pumps,MDTK	0	0	0	0	0	0	0	0	0	0	16	19	0	0	0	0
Drug and biocide MFS efflux pumps,BCR	0	0	0	0	0	0	18	0	11	0	40	18	0	0	0	0
Drug and biocide MFS efflux pumps,EMRA	0	0	0	21	0	0	26	0	15	0	18	0	0	0	0	0
Drug and biocide MFS efflux pumps,EMRB	0	0	0	18	0	0	17	0	34	0	18	0	0	0	0	0
Drug and biocide MFS efflux pumps,EMRD	11	0	0	41	0	0	24	0	20	0	50	0	0	0	0	0
Drug and biocide MFS efflux pumps,EMRK	0	0	0	27	0	0	0	0	0	0	15	14	0	0	0	0
Drug and biocide MFS efflux pumps,EMRY	0	0	0	29	0	0	0	0	33	0	39	20	0	0	0	0
Drug and biocide MFS efflux pumps,KDEA	0	0	0	30	0	0	60	0	23	0	0	32	0	16	0	0
Drug and biocide MFS efflux pumps,KMRA	0	0	0	48	0	0	46	0	0	0	0	24	0	20	0	0
Drug and biocide MFS efflux pumps,KPN	0	0	0	51	0	0	71	0	14	0	27	18	0	18	0	0
Drug and biocide MFS efflux pumps,MDFA	0	0	0	22	0	0	0	0	0	0	0	12	0	0	0	0
Drug and biocide MFS efflux pumps,MDTH	0	0	0	27	0	12	29	0	0	0	29	19	0	0	0	0
Drug and biocide MFS efflux pumps,MDTM	0	0	0	33	0	0	25	0	19	0	0	0	0	0	0	0
Drug and biocide MFS efflux regulator,EMRR	0	0	0	15	0	0	16	0	10	0	12	0	0	12	0	4
Drug and biocide MFS efflux regulator,EVGS	0	0	0	76	0	0	44	0	0	0	82	54	0	0	0	0
Drug and biocide RND efflux pumps,ACRA	0	0	0	75	0	0	82	0	34	0	30	37	0	44	0	0
Drug and biocide RND efflux pumps,ACRB	37	0	45	118	0	0	134	0	88	0	97	77	37	59	0	36
Drug and biocide RND efflux pumps,ACRE	0	0	0	39	11	0	32	0	20	0	32	29	0	22	0	0
Drug and biocide RND efflux pumps,ACRF	0	0	0	59	0	0	100	0	36	0	106	74	0	36	0	0
Drug and biocide RND efflux pumps,ADEJ	0	0	0	0	0	0	0	0	0	137	0	75	0	0	0	0
Drug and biocide RND efflux pumps,MDTE	0	0	15	32	0	0	27	0	26	13	34	30	0	19	0	0
Drug and biocide RND efflux pumps,MDTF	34	0	0	119	0	39	71	0	63	0	105	81	0	56	0	27
Drug and biocide RND efflux pumps,MDTN	0	0	0	41	9	0	38	12	24	0	31	23	0	20	0	14
Drug and biocide RND efflux pumps,MDTO	0	0	0	68	0	0	67	0	49	21	45	60	0	27	0	0
Drug and biocide RND efflux pumps,MDTP	19	0	0	55	0	0	46	0	34	20	52	47	15	23	0	14
Drug and biocide RND efflux pumps,MEXF	0	0	0	0	0	272	184	112	0	0	0	369	0	0	0	0
Drug and biocide RND efflux regulator,ACRR	13	0	7	33	0	0	37	0	21	0	10	16	4	0	0	5
Drug and biocide RND efflux regulator,ACRS	0	0	0	29	0	5	16	0	15	0	21	10	0	0	0	0
Drug and biocide RND efflux regulator,CPXAR	0	0	14	142	11	0	175	0	94	22	64	75	0	92	0	0
Drug and biocide RND efflux regulator,CRP	9	0	7	31	5	6	35	0	18	0	20	15	0	10	0	7
Drug and biocide RND efflux regulator,GADW	0	0	0	18	0	0	11	0	24	6	20	10	0	11	0	0
Drug and biocide RND efflux regulator,GADX	0	0	0	26	0	0	30	0	23	9	31	26	0	10	0	8
Drug and biocide RND efflux regulator,MARA	0	0	0	0	0	3	8	0	0	0	0	0	0	0	0	0
Drug and biocide RND efflux regulator,MARR	0	0	0	10	0	0	9	0	0	0	7	7	0	7	0	0
Drug and biocide SMR efflux pumps,KPNF	0	0	0	9	0	0	7	0	5	0	0	7	0	0	0	0
Drug and biocide SMR efflux pumps,KPNO	0	0	0	18	0	0	45	0	10	0	0	14	0	11	0	0
Drug and biocide SMR efflux pumps,MDTI	0	0	0	5	0	0	6	0	0	0	6	4	0	0	0	0
Drug and biocide SMR efflux pumps,MDTJ	0	0	0	0	0	0	10	0	4	6	6	0	0	0	0	0
Drug and biocide SMR efflux pumps,QACE	0	0	0	7	0	4	0	0	0	0	0	0	10	0	0	4
Drug and biocide SMR efflux pumps,QACEDELTA1	12	13	0	8	4	0	10	6	23	0	3	42	17	23	0	3
Drug and biocide SMR efflux pumps,QACF	0	2	16	5	0	0	7	8	5	7	0	0	0	7	3	0
Drug and biocide SMR efflux pumps,QACG	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0
Drug and biocide SMR efflux pumps,QACH	43	18	75	0	0	0	0	38	0	49	0	0	0	42	0	0
Drug and biocide SMR efflux pumps,QACL	12	0	53	3	0	0	41	0	19	34	0	0	0	13	0	0
Drug and biocide SMR efflux regulator,PHOR	0	0	0	35	0	0	60	0	28	0	0	40	0	28	0	0
Drug and biocide and metal RND efflux pumps,ACRD	0	0	0	77	0	0	45	0	0	0	0	0	0	0	0	0
Drug and biocide and metal RND efflux pumps,MDTA	0	0	0	30	0	0	32	0	23	0	21	26	15	17	0	0
Drug and biocide and metal RND efflux pumps,MDTB	0	0	0	108	0	0	86	0	59	0	79	56	0	0	0	0
Drug and biocide and metal RND efflux pumps,MDTC	0	0	0	107	0	0	92	0	64	0	57	74	0	52	0	0
Drug and biocide and metal RND efflux pumps,ROBA	0	0	0	30	0	0	20	0	0	0	24	33	0	0	0	10
