profile_id	Aminoglycoside-resistant 16S ribosomal subunit protein,A16S	Macrolide-resistant 23S rRNA mutation,MLS23S	Aminoglycoside-resistant 16S ribosomal subunit protein,RRSH	Aminoglycoside-resistant 16S ribosomal subunit protein,RRSC	Cationic peptide-resistant 16S ribosomal subunit protein,CAP16S	Mercury resistance protein,MERA	Mercury resistance protein,MERP	Mercury resistance protein,MERT	Mercury resistance regulator,MERD	EF-Tu inhibition,TUFAB	Mercury resistance regulator,MERR	Mercury resistance protein,MERE	Aminoglycoside-resistant 16S ribosomal subunit protein,RRSA	Oxazolidinone-resistant 23S rRNA mutation,O23S	Class D betalactamases,OXA	MLS resistance ABC efflux pumps,MSRE	Tetracycline transcriptional repressor,TETR	Class A betalactamases,CTX	Fluoroquinolone-resistant DNA topoisomerases,GYRA	Macrolide phosphotransferases,MPHE	Tetracycline-resistant 16S ribosomal subunit protein,TET16S	Copper resistance protein,COPC	Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB	Aminoglycoside-resistant 16S ribosomal subunit protein,RPSL	MLS resistance MFS efflux pumps,MEFC	Macrolide phosphotransferases,MPHG	Aminoglycoside-resistant 16S ribosomal subunit protein,RRS	Copper resistance protein,COPA	Sulfonamide-resistant dihydropteroate synthases,FOLP	Class C betalactamases,MCA	Multi-metal RND efflux regulator,CZCC	Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME	Aminoglycoside O-nucleotidyltransferases,ANT6	Arsenic resistance protein,PSTB	Arsenic resistance protein,PSTC	Fosfomycin target mutation,PTSL	MLS resistance ABC efflux pumps,MSRD	Mercury resistance protein,MERF	Tetracycline resistance MFS efflux pumps,TET39	peroxide resistance protein,SODB	Arsenic resistance protein,PSTA	Biocide and metal resistance protein,YIEF	Class A betalactamases,BLAA	Fluoroquinolone-resistant DNA topoisomerases,GYRB	Fosfomycin target mutation,UHPT	Multi-metal ABC efflux pumps,MODA	Multi-metal RND efflux pumps,SILB	Aminoglycoside O-phosphotransferases,APH6	Colistin phosphoethanolamine transferase,ICR	Copper resistance protein,TCRA	Copper resistance regulator,COPR	Drug and biocide RND efflux pumps,ACRB	Drug and biocide RND efflux pumps,ACRE	Drug and biocide RND efflux pumps,MDTP	Drug and biocide RND efflux regulator,CPXAR	Drug and biocide SMR efflux pumps,QACEDELTA1	Drug and biocide SMR efflux pumps,QACF	Fluoroquinolone-resistant DNA topoisomerases,PARC	MLS resistance ABC efflux pumps,LSA	MLS resistance MFS efflux pumps,MEFA	Macrolide phosphotransferases,MPHB	Multi-metal RND efflux pumps,SILA	Multi-metal resistance protein,PITA	Multi-metal resistance regulator,CADX	Nickel ABC efflux pumps,NIKA	Nickel ABC efflux pumps,NIKC	Triclosan-resistant mutation,FABG	23S rRNA methyltransferases,ERMB	Aminocoumarin-resistant DNA topoisomerases,GYRBA	Aminoglycoside O-phosphotransferases,APH3-DPRIME	Colistin-resistant mutant,PMRAR	Copper resistance protein,CUTA	Copper resistance protein,TCRZ	Copper resistance regulator,COPS	Copper resistance regulator,PCOS	Dihydrofolate reductase,DFRA	Drug and biocide RND efflux pumps,MDTN	Drug and biocide RND efflux regulator,CRP	Lead P-type ATPase transporter,PBRD	Lincosamide nucleotidyltransferases,LNUC	Lipid A modification,EPTA	MLS resistance MFS efflux pumps,MEFJ	Multi-biocide resistance protein,YJCG	Multi-biocide resistance regulator,OXYRKP	Multi-biocide resistance regulator,SOXRB	Multi-metal ABC efflux pumps,MODC	Multi-metal RND efflux pumps,SILF	Multi-metal RND efflux pumps,SILP	Multi-metal RND efflux regulator,SILS	Multi-metal resistance protein,YGJH	Nickel ABC efflux regulator,NIKR	Penicillin binding protein regulator,BLAI	Peroxide resistance stress protein,IBPA	23S rRNA methyltransferases,ERMX	Acetate resistance protein,LPDT	Acid resistance protein,EEFX	Acid resistance protein,GADA	Acid resistance regulator,GADE	Aminocoumarin-resistant DNA topoisomerases,PARE	Aminoglycoside efflux pumps,KDPE	Biguanide cation efflux,CEPAB	Biocide and metal ABC efflux pumps,FETB	Biocide and metal resistance protein,RUVB	Colistin phosphoethanolamine transferase,ARNT	Copper resistance protein,COPD	Copper resistance protein,CUTC	Copper resistance protein,PCOA	Copper resistance protein,PCOC	Copper resistance protein,TCRY	Copper resistance regulator,PCOR	Drug and biocide MFS efflux pumps,EMRD	Drug and biocide RND efflux pumps,MDTO	Drug and biocide RND efflux regulator,ACRR	Drug and biocide RND efflux regulator,ACRS	Drug and biocide RND efflux regulator,GADW	Drug and biocide RND efflux regulator,GADX	Drug and biocide and metal RND efflux pumps,MDTB	Drug and biocide and metal RND efflux pumps,MDTC	Drug and biocide and metal resistance regulator,SOXS	Fosfomycin thiol transferases,FOSA	Lead P-type ATPase transporter,PBRA	Lincosamide nucleotidyltransferases,LNUA	Multi-biocide SMR efflux pump,SUGE	Multi-biocide resistance regulator,RPOS	Multi-drug ABC efflux pumps,LSAE	Multi-drug RND efflux pumps,HNS	Multi-metal RND efflux pumps,CUSB	Multi-metal RND efflux pumps,CUSF	Multi-metal RND efflux pumps,CZCP	Multi-metal RND efflux pumps,SILE	Multi-metal RND efflux regulator,CUSS	Multi-metal RND efflux regulator,CZCD	Multi-metal resistance protein,ARSCM	Multi-metal resistance protein,FIEF	Multi-metal resistance protein,MNTH	Multi-metal resistance protein,ZNTA	Multi-metal resistance regulator,PCOE	Penicillin binding protein regulator,BLAR	Penicillin binding protein,AMPH	Phenicol resistance MFS efflux pumps,CMX	Tetracycline resistance MFS efflux pumps,TETA	Zinc resistance protein,ZITB	Zinc resistance protein,ZNUC	Zinc resistance regulator,ZRAR
Barcelona_Sewage_2M	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Berlin_Sewage_2M	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bogota_Sewage_2M	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0
Hanoi_Sewage_2M	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	0	0	0	1	1	0	0	1	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	0
Hong_Kong_Sewage_2M	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	0	1	1	1	0	0	0	1	0	1	1	0	0	1	0	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	0	0	0	0	1
Ilorin_Sewage_2M	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kuala_Lumpur_Sewage_2M	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	1	0	1	0	0	1	0	1	1	1	0	0	0	1	0	1	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Lisbon_Sewage_2M	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	0	1	0	1	1	1	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oslo_Sewage_2M	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porto_Sewage_2M	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
