covariate,n,df,R2,F_value,p_value,p_FDR_BH,significant_raw_0.05,significant_FDR_0.05
precipitation_june,16,1,0.13507007061454196,2.186282292193484,0.02,0.24,Yes,No
humidity_june,16,1,0.11672779794278151,1.850153517106925,0.061,0.256,No,No
gdp_pc,16,1,0.11566927098154887,1.8311811866348668,0.064,0.256,No,No
region,16,3,0.25460071130929546,1.3662514315327674,0.107,0.321,No,No
temp_june_c,16,1,0.0915514203242157,1.4108887538758135,0.158,0.372,No,No
coastal_status,16,1,0.08740921353582673,1.3409394524383746,0.186,0.372,No,No
climate_class,16,6,0.40549613764761744,1.0231122873864513,0.455,0.7047272727272726,No,No
pop_density,16,1,0.061738846684257345,0.9212188424566851,0.504,0.7047272727272726,No,No
sanitation,16,1,0.05846621139962312,0.8693548436657732,0.553,0.7047272727272726,No,No
wastewater,16,1,0.05629531064541871,0.8351493406002708,0.604,0.7047272727272726,No,No
elevation_m,16,1,0.05558626321838762,0.8240113996111648,0.646,0.7047272727272726,No,No
population,16,1,0.04195061932080918,0.6130254685567118,0.841,0.841,No,No
