response,covariate,n_full,full_rho,full_p_value,full_p_FDR,minimum_loco_rho,maximum_loco_rho,median_loco_rho,mean_loco_rho,number_same_direction,percent_same_direction,number_sign_reversals,direction_stable_all_runs,most_influential_city,rho_after_excluding_influential_city,largest_absolute_change_in_rho,response_label,covariate_label,relationship
jaccard,pop_density,16,-0.5588235294117646,0.02443651142450584,0.2307784272817382,-0.6857142857142856,-0.46428571428571425,-0.5553571428571428,-0.5566964285714284,16,100,0,Yes,Kuala_Lumpur,-0.6857142857142856,0.126890756302521,Jaccard similarity,Population density,Jaccard similarity vs Population density
jaccard,population,16,-0.4705882352941176,0.06581947250108118,0.28206338924846386,-0.5999999999999999,-0.3857142857142857,-0.46428571428571425,-0.4689732142857142,16,100,0,Yes,Hanoi,-0.5999999999999999,0.12941176470588228,Jaccard similarity,City population,Jaccard similarity vs City population
jaccard,gdp_pc,16,-0.4032377839281032,0.12144556683501995,0.31228860043290846,-0.561215594965706,-0.2752458650468749,-0.4110814867583197,-0.40176451048795775,16,100,0,Yes,Bogota,-0.561215594965706,0.15797781103760283,Jaccard similarity,GDP per capita,Jaccard similarity vs GDP per capita
jaccard,elevation_m,16,-0.37058823529411766,0.15765046473782068,0.35471354566009655,-0.4785714285714285,-0.2571428571428571,-0.3857142857142857,-0.36874999999999997,16,100,0,Yes,Bogota,-0.2571428571428571,0.11344537815126055,Jaccard similarity,Elevation,Jaccard similarity vs Elevation
jaccard,sanitation,16,-0.35346135534751466,0.17927285792318035,0.3578956089273046,-0.5903408372690013,-0.21466939537054594,-0.3379538209956622,-0.35256476673839765,16,100,0,Yes,Bogota,-0.5903408372690013,0.23687948192148667,Jaccard similarity,Sanitation coverage,Jaccard similarity vs Sanitation coverage
jaccard,wastewater,16,-0.2707874169444197,0.3103906126453603,0.4655859189680404,-0.4897231624859983,-0.11438789196753243,-0.26630931098691146,-0.27018891895464053,16,100,0,Yes,Bogota,-0.4897231624859983,0.21893574554157857,Jaccard similarity,Wastewater-treatment coverage,Jaccard similarity vs Wastewater-treatment coverage
jaccard,precipitation_june,16,-0.1264705882352941,0.6406944408168836,0.8237499953359934,-0.2678571428571428,0.028571428571428564,-0.1357142857142857,-0.12566964285714283,14,87.5,2,No,Hong_Kong,0.028571428571428564,0.15504201680672267,Jaccard similarity,June precipitation,Jaccard similarity vs June precipitation
jaccard,humidity_june,16,0.0911764705882353,0.7370049501736589,0.8448469792131229,-0.09642857142857142,0.2428571428571428,0.09999999999999998,0.09129464285714284,14,87.5,2,No,Kuala_Lumpur,-0.09642857142857142,0.18760504201680672,Jaccard similarity,June relative humidity,Jaccard similarity vs June relative humidity
jaccard,temp_june_c,16,0.049999999999999996,0.8540995521297435,0.8540995521297435,-0.09285714285714285,0.2178571428571428,0.03214285714285714,0.050446428571428566,13,81.25,3,No,Hong_Kong,0.2178571428571428,0.16785714285714282,Jaccard similarity,Average June temperature,Jaccard similarity vs Average June temperature
shared_arg_groups,humidity_june,16,0.5299895544737834,0.03471709194776949,0.2307784272817382,0.42845690285529964,0.6084808116180306,0.5447305451917313,0.5283123822724811,16,100,0,Yes,Barcelona,0.42845690285529964,0.10153265161848374,Shared ARG-group count,June relative humidity,Shared ARG-group count vs June relative humidity
shared_arg_groups,temp_june_c,16,0.5211070479742227,0.03846307121362303,0.2307784272817382,0.4176554683295358,0.6481243020300179,0.5134724387273826,0.5199993010937961,16,100,0,Yes,Singapore,0.6481243020300179,0.12701725405579523,Shared ARG-group count,Average June temperature,Shared ARG-group count vs Average June temperature
shared_arg_groups,gdp_pc,16,-0.4526005395579799,0.07835094145790662,0.28206338924846386,-0.5576721416608069,-0.341450309676003,-0.4616117080104628,-0.45053225538130437,16,100,0,Yes,Hanoi,-0.341450309676003,0.11115022988197693,Shared ARG-group count,GDP per capita,Shared ARG-group count vs GDP per capita
shared_arg_groups,pop_density,16,-0.43228198297861653,0.0944811724754425,0.28344351742632745,-0.5673331840484368,-0.31324160124715184,-0.4575385317431483,-0.4307550111831156,16,100,0,Yes,Oslo,-0.5673331840484368,0.13505120106982027,Shared ARG-group count,Population density,Shared ARG-group count vs Population density
shared_arg_groups,precipitation_june,16,0.33161357598359625,0.2095758745992518,0.3578956089273046,0.23763155956680487,0.4604435704551633,0.3415817401745991,0.3305029366261125,16,100,0,Yes,Lisbon,0.4604435704551633,0.12882999447156707,Shared ARG-group count,June precipitation,Shared ARG-group count vs June precipitation
shared_arg_groups,sanitation,16,-0.3254306229658814,0.21871398323335278,0.3578956089273046,-0.4535708028625178,-0.2227276109483934,-0.33528071286846356,-0.3240208676574787,16,100,0,Yes,Vienna,-0.4535708028625178,0.1281401798966364,Shared ARG-group count,Sanitation coverage,Shared ARG-group count vs Sanitation coverage
shared_arg_groups,wastewater,16,-0.20518878798291393,0.4458545316067425,0.6173370437631819,-0.31442258067790246,-0.07657856549461807,-0.22002608048590577,-0.20433044055987806,16,100,0,Yes,Hanoi,-0.07657856549461807,0.12861022248829584,Shared ARG-group count,Wastewater-treatment coverage,Shared ARG-group count vs Wastewater-treatment coverage
shared_arg_groups,elevation_m,16,-0.08142297624597229,0.7643524049920344,0.8448469792131229,-0.21602869051527712,0.041405499015428116,-0.0880896925372672,-0.08156981093034707,13,81.25,2,No,Barcelona,-0.21602869051527712,0.13460571426930484,Shared ARG-group count,Elevation,Shared ARG-group count vs Elevation
shared_arg_groups,population,16,-0.06957963424655815,0.797911035923505,0.8448469792131229,-0.23583132047917757,0.007194430788361927,-0.05296306623236989,-0.0690000804188071,15,93.75,1,No,Hanoi,-0.23583132047917757,0.16625168623261943,Shared ARG-group count,City population,Shared ARG-group count vs City population
