"","Acetate resistance protein,ICLR","Acid resistance protein,GADA","Acid resistance regulator,GADE","Aminocoumarin-resistant DNA topoisomerases,PARE","Aminoglycoside N-acetyltransferases,AAC3","Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME","Aminoglycoside O-phosphotransferases,APH3-DPRIME","Aminoglycoside O-phosphotransferases,APH6","Aminoglycoside-resistant 16S ribosomal subunit protein,A16S","Aminoglycoside-resistant 16S ribosomal subunit protein,RPSL","Aminoglycoside-resistant 16S ribosomal subunit protein,RRS","Aminoglycoside-resistant 16S ribosomal subunit protein,RRSA","Aminoglycoside-resistant 16S ribosomal subunit protein,RRSC","Aminoglycoside-resistant 16S ribosomal subunit protein,RRSH","Arsenic resistance protein,PSTB","Arsenic resistance protein,PSTC","Biocide and metal ABC efflux pumps,FETB","Biocide and metal resistance protein,YIEF","Cationic peptide-resistant 16S ribosomal subunit protein,CAP16S","Class A betalactamases,CTX","Class D betalactamases,OXA","Colistin phosphoethanolamine transferase,ICR","Colistin-resistant mutant,PMRAR","Copper resistance protein,COPA","Copper resistance protein,COPC","Copper resistance protein,TCRA","Copper resistance regulator,COPR","Dihydrofolate reductase,DFRA","Drug and biocide RND efflux pumps,ACRB","Drug and biocide RND efflux pumps,MDTP","Drug and biocide RND efflux regulator,ACRR","Drug and biocide RND efflux regulator,ACRS","Drug and biocide RND efflux regulator,CPXAR","Drug and biocide RND efflux regulator,GADW","Drug and biocide RND efflux regulator,MARR","Drug and biocide SMR efflux pumps,QACEDELTA1","Drug and biocide SMR efflux pumps,QACF","Drug and biocide and metal RND efflux pumps,ROBA","EF-Tu inhibition,TUFAB","Fluoroquinolone-resistant DNA topoisomerases,GYRA","Fluoroquinolone-resistant DNA topoisomerases,GYRB","Fluoroquinolone-resistant DNA topoisomerases,PARC","Fosfomycin target mutation,PTSL","Fosfomycin target mutation,UHPT","Lipid A modification,EPTA","MLS resistance ABC efflux pumps,MSRD","MLS resistance ABC efflux pumps,MSRE","Macrolide phosphotransferases,MPHE","Macrolide-resistant 23S rRNA mutation,MLS23S","Mercury resistance protein,MERA","Mercury resistance protein,MERE","Mercury resistance protein,MERP","Mercury resistance protein,MERT","Mercury resistance regulator,MERD","Mercury resistance regulator,MERR","Multi-biocide resistance regulator,SOXRB","Multi-metal ABC efflux pumps,MODC","Multi-metal RND efflux pumps,CUSF","Multi-metal RND efflux pumps,SILA","Multi-metal RND efflux pumps,SILB","Multi-metal RND efflux pumps,SILF","Multi-metal RND efflux pumps,SILP","Multi-metal resistance protein,FIEF","Multi-metal resistance protein,PITA","Multi-metal resistance protein,YGJH","Mutant porin proteins,OMPFB","Nickel ABC efflux pumps,NIKA","Nickel ABC efflux pumps,NIKC","Oxazolidinone-resistant 23S rRNA mutation,O23S","Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB","Sulfonamide-resistant dihydropteroate synthases,FOLP","Sulfonamide-resistant dihydropteroate synthases,SULI","Sulfonamide-resistant dihydropteroate synthases,SULII","Tetracycline transcriptional repressor,TETR","Tetracycline-resistant 16S ribosomal subunit protein,TET16S","Zinc resistance protein,ZITB","Zinc resistance regulator,ZNTR","Zinc resistance regulator,ZRAR","peroxide resistance protein,SODA","peroxide resistance protein,SODB"
"Barcelona",0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berlin",0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Bogota",0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Hanoi",1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0
"Hong_Kong",0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Ilorin",0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
"Kuala_Lumpur",0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1
"Lisbon",0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Oslo",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Porto",0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
