profile_id	city	environment	depth	comparison
Barcelona_Sewage_3M	Barcelona	Sewage	3M	Sewage_3M_vs_Transit_5M
Berlin_Sewage_3M	Berlin	Sewage	3M	Sewage_3M_vs_Transit_5M
Bogota_Sewage_3M	Bogota	Sewage	3M	Sewage_3M_vs_Transit_5M
Hanoi_Sewage_3M	Hanoi	Sewage	3M	Sewage_3M_vs_Transit_5M
Hong_Kong_Sewage_3M	Hong_Kong	Sewage	3M	Sewage_3M_vs_Transit_5M
Ilorin_Sewage_3M	Ilorin	Sewage	3M	Sewage_3M_vs_Transit_5M
Kuala_Lumpur_Sewage_3M	Kuala_Lumpur	Sewage	3M	Sewage_3M_vs_Transit_5M
Lisbon_Sewage_3M	Lisbon	Sewage	3M	Sewage_3M_vs_Transit_5M
Oslo_Sewage_3M	Oslo	Sewage	3M	Sewage_3M_vs_Transit_5M
Porto_Sewage_3M	Porto	Sewage	3M	Sewage_3M_vs_Transit_5M
Rio_de_Janeiro_Sewage_3M	Rio_de_Janeiro	Sewage	3M	Sewage_3M_vs_Transit_5M
Santiago_Sewage_3M	Santiago	Sewage	3M	Sewage_3M_vs_Transit_5M
Singapore_Sewage_3M	Singapore	Sewage	3M	Sewage_3M_vs_Transit_5M
Sofia_Sewage_3M	Sofia	Sewage	3M	Sewage_3M_vs_Transit_5M
Taipei_Sewage_3M	Taipei	Sewage	3M	Sewage_3M_vs_Transit_5M
Vienna_Sewage_3M	Vienna	Sewage	3M	Sewage_3M_vs_Transit_5M
Barcelona_Transit_5M	Barcelona	Transit	5M	Sewage_3M_vs_Transit_5M
Berlin_Transit_5M	Berlin	Transit	5M	Sewage_3M_vs_Transit_5M
Bogota_Transit_5M	Bogota	Transit	5M	Sewage_3M_vs_Transit_5M
Hanoi_Transit_5M	Hanoi	Transit	5M	Sewage_3M_vs_Transit_5M
Hong_Kong_Transit_5M	Hong_Kong	Transit	5M	Sewage_3M_vs_Transit_5M
Ilorin_Transit_5M	Ilorin	Transit	5M	Sewage_3M_vs_Transit_5M
Kuala_Lumpur_Transit_5M	Kuala_Lumpur	Transit	5M	Sewage_3M_vs_Transit_5M
Lisbon_Transit_5M	Lisbon	Transit	5M	Sewage_3M_vs_Transit_5M
Oslo_Transit_5M	Oslo	Transit	5M	Sewage_3M_vs_Transit_5M
Porto_Transit_5M	Porto	Transit	5M	Sewage_3M_vs_Transit_5M
Rio_de_Janeiro_Transit_5M	Rio_de_Janeiro	Transit	5M	Sewage_3M_vs_Transit_5M
Santiago_Transit_5M	Santiago	Transit	5M	Sewage_3M_vs_Transit_5M
Singapore_Transit_5M	Singapore	Transit	5M	Sewage_3M_vs_Transit_5M
Sofia_Transit_5M	Sofia	Transit	5M	Sewage_3M_vs_Transit_5M
Taipei_Transit_5M	Taipei	Transit	5M	Sewage_3M_vs_Transit_5M
Vienna_Transit_5M	Vienna	Transit	5M	Sewage_3M_vs_Transit_5M
