profile_id	Aminoglycoside-resistant 16S ribosomal subunit protein,A16S	Macrolide-resistant 23S rRNA mutation,MLS23S	Aminoglycoside-resistant 16S ribosomal subunit protein,RRSH	Cationic peptide-resistant 16S ribosomal subunit protein,CAP16S	Aminoglycoside-resistant 16S ribosomal subunit protein,RRSC	Mercury resistance protein,MERP	Mercury resistance regulator,MERR	Mercury resistance protein,MERA	EF-Tu inhibition,TUFAB	MLS resistance ABC efflux pumps,MSRE	Mercury resistance protein,MERT	Mercury resistance regulator,MERD	Aminoglycoside-resistant 16S ribosomal subunit protein,RRSA	Tetracycline-resistant 16S ribosomal subunit protein,TET16S	Fluoroquinolone-resistant DNA topoisomerases,GYRA	Macrolide phosphotransferases,MPHE	Mercury resistance protein,MERE	Oxazolidinone-resistant 23S rRNA mutation,O23S	Aminoglycoside-resistant 16S ribosomal subunit protein,RPSL	Aminoglycoside-resistant 16S ribosomal subunit protein,RRS	Class A betalactamases,CTX	Class D betalactamases,OXA	Copper resistance protein,COPC	Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB	Tetracycline transcriptional repressor,TETR	MLS resistance ABC efflux pumps,MSRD	Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME	Class A betalactamases,BLAA	Copper resistance protein,COPA	Mercury resistance protein,MERF	Sulfonamide-resistant dihydropteroate synthases,FOLP	Tetracycline resistance MFS efflux pumps,TET39	peroxide resistance protein,SODB	23S rRNA methyltransferases,ERMB	Arsenic resistance protein,PSTB	Class C betalactamases,MCA	Copper resistance protein,TCRA	Copper resistance protein,TCRZ	Copper resistance regulator,COPR	Dihydrofolate reductase,DFRA	Drug and biocide RND efflux regulator,CPXAR	Lead P-type ATPase transporter,PBRD	Macrolide phosphotransferases,MPHG	Penicillin binding protein regulator,BLAI	23S rRNA methyltransferases,ERMX	Acid resistance regulator,GADE	Aminoglycoside O-nucleotidyltransferases,ANT6	Arsenic resistance protein,PSTC	Biocide and metal resistance protein,RUVB	Colistin phosphoethanolamine transferase,ICR	Copper resistance protein,PCOC	Copper resistance protein,TCRY	Fosfomycin target mutation,PTSL	Fosfomycin thiol transferases,FOSA	Lead P-type ATPase transporter,PBRA	MLS resistance ABC efflux pumps,LSA	Multi-biocide resistance regulator,SOXRB	Multi-metal RND efflux pumps,CZCP	Multi-metal RND efflux pumps,SILF	Multi-metal RND efflux regulator,CZCC	Multi-metal RND efflux regulator,CZCD	Nickel ABC efflux pumps,NIKC	Nickel ABC efflux regulator,NIKR	Penicillin binding protein regulator,BLAR	Phenicol resistance MFS efflux pumps,CMX
Barcelona_Sewage_1M	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Berlin_Sewage_1M	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0
Bogota_Sewage_1M	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hanoi_Sewage_1M	1	1	1	1	1	1	0	0	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Hong_Kong_Sewage_1M	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Ilorin_Sewage_1M	1	1	0	1	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kuala_Lumpur_Sewage_1M	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lisbon_Sewage_1M	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Oslo_Sewage_1M	1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Porto_Sewage_1M	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rio_de_Janeiro_Sewage_1M	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Santiago_Sewage_1M	1	1	1	1	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Singapore_Sewage_1M	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0
Sofia_Sewage_1M	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Taipei_Sewage_1M	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Vienna_Sewage_1M	1	1	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0
Barcelona_Transit_5M	1	1	1	0	1	0	0	0	1	0	0	0	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Berlin_Transit_5M	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Bogota_Transit_5M	1	1	1	1	1	1	0	0	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Hanoi_Transit_5M	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1
Hong_Kong_Transit_5M	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1
Ilorin_Transit_5M	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Kuala_Lumpur_Transit_5M	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	1	0	1	0	0	1	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	1	1	0	0
Lisbon_Transit_5M	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Oslo_Transit_5M	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porto_Transit_5M	1	1	1	1	1	0	0	1	1	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
