profile_id	city	environment	depth	comparison	level	level_label	PCoA1	PCoA2
Barcelona_Sewage_1M	Barcelona	Sewage	1M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	-0.2788744500098568	0.10290083150440425
Berlin_Sewage_1M	Berlin	Sewage	1M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	-0.2709735076527164	0.1731738189442151
Bogota_Sewage_1M	Bogota	Sewage	1M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	-0.15098749688762583	-0.1701207152954444
Hanoi_Sewage_1M	Hanoi	Sewage	1M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	-0.23469927580402977	-0.16939540213888127
Hong_Kong_Sewage_1M	Hong_Kong	Sewage	1M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	-0.1554219117677162	-0.2581660141120848
Ilorin_Sewage_1M	Ilorin	Sewage	1M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	-0.05516859721911592	0.3873624215227059
Kuala_Lumpur_Sewage_1M	Kuala_Lumpur	Sewage	1M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	-0.1915884673989218	0.16157194347371864
Lisbon_Sewage_1M	Lisbon	Sewage	1M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	-0.27183213585618543	0.04688851519616048
Oslo_Sewage_1M	Oslo	Sewage	1M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	-0.3587791658012735	-0.044821242993223404
Porto_Sewage_1M	Porto	Sewage	1M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	-0.2726993135877478	0.20245555886216876
Rio_de_Janeiro_Sewage_1M	Rio_de_Janeiro	Sewage	1M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	-0.336444974994504	-0.21499821559435822
Santiago_Sewage_1M	Santiago	Sewage	1M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	-0.32846349389241675	-0.06309010197376518
Singapore_Sewage_1M	Singapore	Sewage	1M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	-0.19670236663875232	-0.08772913773427785
Sofia_Sewage_1M	Sofia	Sewage	1M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	-0.27358232205853605	0.1538070187306915
Taipei_Sewage_1M	Taipei	Sewage	1M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	-0.2768005515861472	-0.007243224152715423
Vienna_Sewage_1M	Vienna	Sewage	1M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	-0.19269475182249224	0.1672388745408053
Barcelona_Transit_5M	Barcelona	Transit	5M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	0.3005919235539122	-0.2100297073632032
Berlin_Transit_5M	Berlin	Transit	5M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	0.33335011579636015	-0.3208103318440118
Bogota_Transit_5M	Bogota	Transit	5M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	0.27538858206522204	-0.21862556103372768
Hanoi_Transit_5M	Hanoi	Transit	5M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	0.15225832277903784	-0.11299361692099712
Hong_Kong_Transit_5M	Hong_Kong	Transit	5M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	0.32801588159125467	0.21638492066757933
Ilorin_Transit_5M	Ilorin	Transit	5M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	0.2602809481016609	0.03178091014660081
Kuala_Lumpur_Transit_5M	Kuala_Lumpur	Transit	5M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	0.21679021692980677	0.04853221254583804
Lisbon_Transit_5M	Lisbon	Transit	5M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	0.029342276214042604	-0.34947439004228625
Oslo_Transit_5M	Oslo	Transit	5M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	0.30112177867547457	0.26178838979931224
Porto_Transit_5M	Porto	Transit	5M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	0.20215733232081307	-0.26412374486902995
Rio_de_Janeiro_Transit_5M	Rio_de_Janeiro	Transit	5M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	0.16388080468324706	-0.24615232535798098
Santiago_Transit_5M	Santiago	Transit	5M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	0.2088653870341189	-0.3352329538514213
Singapore_Transit_5M	Singapore	Transit	5M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	0.15668597406955578	0.32943258035241696
Sofia_Transit_5M	Sofia	Transit	5M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	0.3499358522706527	0.2134796290999504
Taipei_Transit_5M	Taipei	Transit	5M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	0.2765358722219326	0.3280488901133963
Vienna_Transit_5M	Vienna	Transit	5M	Sewage_1M_vs_Transit_5M	arg_group	ARG Group	0.29051151467094577	0.248160169777444
