"City","Sewage","Transit","Counts_equal","Difference_Sewage_minus_Transit"
"Lisbon",22076,22076,TRUE,0
"Barcelona",8616,8616,TRUE,0
"Berlin",7758,7758,TRUE,0
"Hong_Kong",9012,9012,TRUE,0
"Porto",5094,5094,TRUE,0
"Santiago",3724,3724,TRUE,0
"Singapore",2268,2268,TRUE,0
"Sofia",12333,12333,TRUE,0
"Taipei",3129,3129,TRUE,0
"Vienna",8841,8841,TRUE,0
"Bogota",5885,5885,TRUE,0
"Hanoi",10875,10875,TRUE,0
"Ilorin",4296,4296,TRUE,0
"Kuala_Lumpur",15470,15470,TRUE,0
"Oslo",4016,4016,TRUE,0
"Rio_de_Janeiro",6342,6342,TRUE,0
