"City","Sewage_original_total","Transit_original_total","Pairwise_min_target_total","Lower_count_environment"
"Barcelona",8616,14498,8616,"Sewage"
"Berlin",12124,7758,7758,"Transit"
"Bogota",8184,5885,5885,"Transit"
"Hanoi",41732,10875,10875,"Transit"
"Hong_Kong",23381,9012,9012,"Transit"
"Ilorin",4296,27929,4296,"Sewage"
"Kuala_Lumpur",15470,24455,15470,"Sewage"
"Lisbon",23692,22076,22076,"Transit"
"Oslo",15774,4016,4016,"Transit"
"Porto",21153,5094,5094,"Transit"
"Rio_de_Janeiro",6342,19925,6342,"Sewage"
"Santiago",19927,3724,3724,"Transit"
"Singapore",32266,2268,2268,"Transit"
"Sofia",19903,12333,12333,"Transit"
"Taipei",23348,3129,3129,"Transit"
"Vienna",20745,8841,8841,"Transit"
