"Sample1","Sample2","shared_ARGs_a","unique_ARGs_sample1_b","unique_ARGs_sample2_c","Total_Jaccard","Turnover","Nestedness","City1","Environment1","City2","Environment2","Pair_type","Turnover_minus_Nestedness","Dominant_component"
"Barcelona_Sewage","Barcelona_Transit",8,46,5,0.864406779661017,0.555555555555556,0.308851224105461,"Barcelona","Sewage","Barcelona","Transit","Sewage-Transit",0.246704331450095,"Turnover"
"Berlin_Sewage","Berlin_Transit",9,59,16,0.892857142857143,0.780487804878049,0.112369337979094,"Berlin","Sewage","Berlin","Transit","Sewage-Transit",0.668118466898955,"Turnover"
"Bogota_Sewage","Bogota_Transit",12,170,11,0.937823834196891,0.647058823529412,0.290765010667479,"Bogota","Sewage","Bogota","Transit","Sewage-Transit",0.356293812861933,"Turnover"
"Hanoi_Sewage","Hanoi_Transit",52,161,14,0.770925110132159,0.35,0.420925110132159,"Hanoi","Sewage","Hanoi","Transit","Sewage-Transit",-0.070925110132159,"Nestedness"
"Hong_Kong_Sewage","Hong_Kong_Transit",16,221,17,0.937007874015748,0.68,0.257007874015748,"Hong_Kong","Sewage","Hong_Kong","Transit","Sewage-Transit",0.422992125984252,"Turnover"
"Ilorin_Sewage","Ilorin_Transit",23,42,25,0.744444444444444,0.684931506849315,0.0595129375951294,"Ilorin","Sewage","Ilorin","Transit","Sewage-Transit",0.625418569254186,"Turnover"
"Kuala_Lumpur_Sewage","Kuala_Lumpur_Transit",48,126,23,0.756345177664975,0.48936170212766,0.266983475537315,"Kuala_Lumpur","Sewage","Kuala_Lumpur","Transit","Sewage-Transit",0.222378226590345,"Turnover"
"Lisbon_Sewage","Lisbon_Transit",17,87,8,0.848214285714286,0.484848484848485,0.363365800865801,"Lisbon","Sewage","Lisbon","Transit","Sewage-Transit",0.121482683982684,"Turnover"
"Oslo_Sewage","Oslo_Transit",9,39,7,0.836363636363636,0.608695652173913,0.227667984189723,"Oslo","Sewage","Oslo","Transit","Sewage-Transit",0.38102766798419,"Turnover"
"Porto_Sewage","Porto_Transit",15,74,2,0.835164835164835,0.210526315789474,0.624638519375362,"Porto","Sewage","Porto","Transit","Sewage-Transit",-0.414112203585888,"Nestedness"
"Rio_de_Janeiro_Sewage","Rio_de_Janeiro_Transit",15,49,23,0.827586206896552,0.754098360655738,0.0734878462408141,"Rio_de_Janeiro","Sewage","Rio_de_Janeiro","Transit","Sewage-Transit",0.680610514414924,"Turnover"
"Santiago_Sewage","Santiago_Transit",6,71,5,0.926829268292683,0.625,0.301829268292683,"Santiago","Sewage","Santiago","Transit","Sewage-Transit",0.323170731707317,"Turnover"
"Singapore_Sewage","Singapore_Transit",9,228,5,0.962809917355372,0.526315789473684,0.436494127881688,"Singapore","Sewage","Singapore","Transit","Sewage-Transit",0.0898216615919959,"Turnover"
"Sofia_Sewage","Sofia_Transit",17,41,16,0.77027027027027,0.653061224489796,0.117209045780474,"Sofia","Sewage","Sofia","Transit","Sewage-Transit",0.535852178709322,"Turnover"
"Taipei_Sewage","Taipei_Transit",15,188,15,0.931192660550459,0.666666666666667,0.264525993883792,"Taipei","Sewage","Taipei","Transit","Sewage-Transit",0.402140672782875,"Turnover"
"Vienna_Sewage","Vienna_Transit",20,70,15,0.80952380952381,0.6,0.20952380952381,"Vienna","Sewage","Vienna","Transit","Sewage-Transit",0.39047619047619,"Turnover"
