feature	sewage_n	transit_n	sewage_prop	transit_prop	overall_n	overall_prop	prevalence_difference	strict_category	association_category
Oxazolidinone-resistant 23S rRNA mutation,O23S	4	15	0.25	0.9375	19	0.59375	0.6875	Shared	Transit-associated
Aminoglycoside-resistant 16S ribosomal subunit protein,RRSA	6	16	0.375	1	22	0.6875	0.625	Shared	Transit-associated
Tetracycline-resistant 16S ribosomal subunit protein,TET16S	5	15	0.3125	0.9375	20	0.625	0.625	Shared	Transit-associated
Aminoglycoside-resistant 16S ribosomal subunit protein,RRS	2	11	0.125	0.6875	13	0.40625	0.5625	Shared	Transit-associated
Fluoroquinolone-resistant DNA topoisomerases,GYRA	6	14	0.375	0.875	20	0.625	0.5	Shared	Transit-associated
Lead P-type ATPase transporter,PBRD	0	5	0	0.3125	5	0.15625	0.3125	Transit-specific	Transit-specific
Penicillin binding protein regulator,BLAI	0	5	0	0.3125	5	0.15625	0.3125	Transit-specific	Transit-specific
23S rRNA methyltransferases,ERMX	0	4	0	0.25	4	0.125	0.25	Transit-specific	Transit-specific
Lead P-type ATPase transporter,PBRA	0	4	0	0.25	4	0.125	0.25	Transit-specific	Transit-specific
Multi-metal RND efflux pumps,CZCP	0	4	0	0.25	4	0.125	0.25	Transit-specific	Transit-specific
Multi-metal RND efflux regulator,CZCD	0	4	0	0.25	4	0.125	0.25	Transit-specific	Transit-specific
Penicillin binding protein regulator,BLAR	0	4	0	0.25	4	0.125	0.25	Transit-specific	Transit-specific
Phenicol resistance MFS efflux pumps,CMX	0	4	0	0.25	4	0.125	0.25	Transit-specific	Transit-specific
23S rRNA methyltransferases,ERM	0	3	0	0.1875	3	0.09375	0.1875	Transit-specific	Transit-specific
Drug and biocide MFS efflux regulator,QACR	0	3	0	0.1875	3	0.09375	0.1875	Transit-specific	Transit-specific
Drug and biocide RND efflux pumps,ACRC	0	3	0	0.1875	3	0.09375	0.1875	Transit-specific	Transit-specific
Fusidic acid-resistant mutation,FUSA	0	3	0	0.1875	3	0.09375	0.1875	Transit-specific	Transit-specific
Lead P-type ATPase transporter,PBRB	0	3	0	0.1875	3	0.09375	0.1875	Transit-specific	Transit-specific
Multi-metal RND efflux pumps,CZCE	0	3	0	0.1875	3	0.09375	0.1875	Transit-specific	Transit-specific
Zinc resistance protein,ZNEB	0	3	0	0.1875	3	0.09375	0.1875	Transit-specific	Transit-specific
23S rRNA methyltransferases,ERMA	0	2	0	0.125	2	0.0625	0.125	Transit-specific	Transit-specific
Aminoglycoside O-phosphotransferases,APH3-PRIME	0	2	0	0.125	2	0.0625	0.125	Transit-specific	Transit-specific
Copper resistance protein,COPG	0	2	0	0.125	2	0.0625	0.125	Transit-specific	Transit-specific
Copper resistance protein,COPM	0	2	0	0.125	2	0.0625	0.125	Transit-specific	Transit-specific
Dihydrofolate reductase,DHFR	0	2	0	0.125	2	0.0625	0.125	Transit-specific	Transit-specific
Drug and biocide RND efflux pumps,ARMR	0	2	0	0.125	2	0.0625	0.125	Transit-specific	Transit-specific
Drug and biocide SMR efflux pumps,QACC	0	2	0	0.125	2	0.0625	0.125	Transit-specific	Transit-specific
Fosfomycin thiol transferases,FOSA	2	4	0.125	0.25	6	0.1875	0.125	Shared	Broadly shared
Macrolide phosphotransferases,MPHC	0	2	0	0.125	2	0.0625	0.125	Transit-specific	Transit-specific
Multi-metal RND efflux pumps,CZCB	0	2	0	0.125	2	0.0625	0.125	Transit-specific	Transit-specific
Multi-metal resistance protein,CADD	0	2	0	0.125	2	0.0625	0.125	Transit-specific	Transit-specific
Multi-metal resistance protein,DMEF	0	2	0	0.125	2	0.0625	0.125	Transit-specific	Transit-specific
Pyrazinamide-resistant mutant,RPSA	0	2	0	0.125	2	0.0625	0.125	Transit-specific	Transit-specific
Tellurium resistance protein,TERZ	0	2	0	0.125	2	0.0625	0.125	Transit-specific	Transit-specific
Tetracycline resistance MFS efflux pumps,TETK	0	2	0	0.125	2	0.0625	0.125	Transit-specific	Transit-specific
Aminoglycoside N-acetyltransferases,AAC3	2	3	0.125	0.1875	5	0.15625	0.0625	Shared	Broadly shared
Aminoglycoside N-acetyltransferases,AAC6-PRIME	2	3	0.125	0.1875	5	0.15625	0.0625	Shared	Broadly shared
Dihydrofolate reductase,DFRA	3	4	0.1875	0.25	7	0.21875	0.0625	Shared	Broadly shared
Lincosamide nucleotidyltransferases,LNUA	2	3	0.125	0.1875	5	0.15625	0.0625	Shared	Broadly shared
Tetracycline resistance MFS efflux pumps,TETA	2	3	0.125	0.1875	5	0.15625	0.0625	Shared	Broadly shared
Aminoglycoside-resistant 16S ribosomal subunit protein,A16S	16	16	1	1	32	1	0	Shared	Broadly shared
Macrolide-resistant 23S rRNA mutation,MLS23S	16	16	1	1	32	1	0	Shared	Broadly shared
Sulfonamide-resistant dihydropteroate synthases,SULI	2	2	0.125	0.125	4	0.125	0	Shared	Broadly shared
Aminoglycoside-resistant 16S ribosomal subunit protein,RRSH	16	15	1	0.9375	31	0.96875	-0.0625	Shared	Broadly shared
Biocide and metal resistance protein,YCHH	3	2	0.1875	0.125	5	0.15625	-0.0625	Shared	Broadly shared
Mercury resistance regulator,MERR1	3	2	0.1875	0.125	5	0.15625	-0.0625	Shared	Broadly shared
Sulfonamide-resistant dihydropteroate synthases,SULII	4	3	0.25	0.1875	7	0.21875	-0.0625	Shared	Broadly shared
Aminoglycoside-resistant 16S ribosomal subunit protein,RRSC	16	14	1	0.875	30	0.9375	-0.125	Shared	Broadly shared
Biocide and metal ABC efflux pumps,FETB	4	2	0.25	0.125	6	0.1875	-0.125	Shared	Broadly shared
Biocide and metal ABC efflux pumps,SITABCD	2	0	0.125	0	2	0.0625	-0.125	Sewage-specific	Sewage-specific
Biocide and metal resistance protein,YHCN	2	0	0.125	0	2	0.0625	-0.125	Sewage-specific	Sewage-specific
Biocide and metal resistance protein,YJAA	2	0	0.125	0	2	0.0625	-0.125	Sewage-specific	Sewage-specific
Biocide and metal resistance protein,YODB	2	0	0.125	0	2	0.0625	-0.125	Sewage-specific	Sewage-specific
Class A betalactamases,BRO	2	0	0.125	0	2	0.0625	-0.125	Sewage-specific	Sewage-specific
Class C betalactamases,BLAEC	2	0	0.125	0	2	0.0625	-0.125	Sewage-specific	Sewage-specific
Colistin phosphoethanolamine transferase,MCR	2	0	0.125	0	2	0.0625	-0.125	Sewage-specific	Sewage-specific
Colistin-resistant mutant,LPXC	2	0	0.125	0	2	0.0625	-0.125	Sewage-specific	Sewage-specific
Copper resistance protein,COPB	2	0	0.125	0	2	0.0625	-0.125	Sewage-specific	Sewage-specific
Drug and biocide MATE efflux pumps,MDTK	2	0	0.125	0	2	0.0625	-0.125	Sewage-specific	Sewage-specific
Drug and biocide MFS efflux pumps,MDFA	2	0	0.125	0	2	0.0625	-0.125	Sewage-specific	Sewage-specific
Drug and biocide RND efflux pumps,ADEJ	2	0	0.125	0	2	0.0625	-0.125	Sewage-specific	Sewage-specific
Drug and biocide RND efflux regulator,MARA	2	0	0.125	0	2	0.0625	-0.125	Sewage-specific	Sewage-specific
Drug and biocide SMR efflux pumps,QACG	2	0	0.125	0	2	0.0625	-0.125	Sewage-specific	Sewage-specific
Drug and biocide and metal RND efflux pumps,ACRD	2	0	0.125	0	2	0.0625	-0.125	Sewage-specific	Sewage-specific
MLS resistance MFS efflux pumps,MEFE	2	0	0.125	0	2	0.0625	-0.125	Sewage-specific	Sewage-specific
Macrolide esterases,EREA	2	0	0.125	0	2	0.0625	-0.125	Sewage-specific	Sewage-specific
Multi-metal ABC efflux pumps,MODB	2	0	0.125	0	2	0.0625	-0.125	Sewage-specific	Sewage-specific
Multi-metal RND efflux pumps,CUSC	2	0	0.125	0	2	0.0625	-0.125	Sewage-specific	Sewage-specific
Multi-metal resistance protein,CORD	2	0	0.125	0	2	0.0625	-0.125	Sewage-specific	Sewage-specific
Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB	10	8	0.625	0.5	18	0.5625	-0.125	Shared	Broadly shared
Tetracycline resistance ribosomal protection proteins,TET36	2	0	0.125	0	2	0.0625	-0.125	Sewage-specific	Sewage-specific
Acid resistance regulator,GADE	5	2	0.3125	0.125	7	0.21875	-0.1875	Shared	Broadly shared
Aminoglycoside-resistant 16S ribosomal subunit protein,RPSL	11	8	0.6875	0.5	19	0.59375	-0.1875	Shared	Broadly shared
Biocide and metal resistance protein,DPR	3	0	0.1875	0	3	0.09375	-0.1875	Sewage-specific	Sewage-specific
Biocide and metal resistance protein,YIEF	5	2	0.3125	0.125	7	0.21875	-0.1875	Shared	Broadly shared
Cationic peptide-resistant 16S ribosomal subunit protein,CAP16S	16	13	1	0.8125	29	0.90625	-0.1875	Shared	Broadly shared
Chloramphenicol acetyltransferases,CATB	3	0	0.1875	0	3	0.09375	-0.1875	Sewage-specific	Sewage-specific
Class B betalactamases,AIM	3	0	0.1875	0	3	0.09375	-0.1875	Sewage-specific	Sewage-specific
Copper resistance protein,PCOC	5	2	0.3125	0.125	7	0.21875	-0.1875	Shared	Broadly shared
Copper resistance protein,TCRB	3	0	0.1875	0	3	0.09375	-0.1875	Sewage-specific	Sewage-specific
Drug and biocide ABC efflux regulator,PHOB	3	0	0.1875	0	3	0.09375	-0.1875	Sewage-specific	Sewage-specific
Drug and biocide MFS efflux pumps,EMRD	5	2	0.3125	0.125	7	0.21875	-0.1875	Shared	Broadly shared
Drug and biocide MFS efflux pumps,EMRK	3	0	0.1875	0	3	0.09375	-0.1875	Sewage-specific	Sewage-specific
Drug and biocide MFS efflux pumps,MDTM	3	0	0.1875	0	3	0.09375	-0.1875	Sewage-specific	Sewage-specific
Drug and biocide RND efflux regulator,MARR	5	2	0.3125	0.125	7	0.21875	-0.1875	Shared	Broadly shared
Drug and biocide and metal RND efflux pumps,ROBA	5	2	0.3125	0.125	7	0.21875	-0.1875	Shared	Broadly shared
Fluoroquinolone-resistant DNA topoisomerases,GYRB	5	2	0.3125	0.125	7	0.21875	-0.1875	Shared	Broadly shared
Fluoroquinolone-resistant DNA topoisomerases,PARC	6	3	0.375	0.1875	9	0.28125	-0.1875	Shared	Broadly shared
Lincosamide nucleotidyltransferases,LNUB	3	0	0.1875	0	3	0.09375	-0.1875	Sewage-specific	Sewage-specific
Lipid A modification,UGD	3	0	0.1875	0	3	0.09375	-0.1875	Sewage-specific	Sewage-specific
MDR mutant porin proteins,OMPK	3	0	0.1875	0	3	0.09375	-0.1875	Sewage-specific	Sewage-specific
Multi-biocide resistance regulator,SOXRB	6	3	0.375	0.1875	9	0.28125	-0.1875	Shared	Broadly shared
Multi-drug RND efflux regulator,RAMR	3	0	0.1875	0	3	0.09375	-0.1875	Sewage-specific	Sewage-specific
Multi-metal RND efflux pumps,SILF	5	2	0.3125	0.125	7	0.21875	-0.1875	Shared	Broadly shared
Multi-metal resistance protein,DSBC	3	0	0.1875	0	3	0.09375	-0.1875	Sewage-specific	Sewage-specific
Multi-metal resistance protein,ZINT	3	0	0.1875	0	3	0.09375	-0.1875	Sewage-specific	Sewage-specific
Multi-metal resistance regulator,CADX	5	2	0.3125	0.125	7	0.21875	-0.1875	Shared	Broadly shared
Sulfonamide-resistant dihydropteroate synthases,FOLP	9	6	0.5625	0.375	15	0.46875	-0.1875	Shared	Broadly shared
Tetracycline inactivation enzymes,TETX	3	0	0.1875	0	3	0.09375	-0.1875	Sewage-specific	Sewage-specific
Tetracycline resistance MFS efflux pumps,TETG	3	0	0.1875	0	3	0.09375	-0.1875	Sewage-specific	Sewage-specific
Zinc resistance protein,ZNUA	3	0	0.1875	0	3	0.09375	-0.1875	Sewage-specific	Sewage-specific
peroxide resistance protein,YDEI	3	0	0.1875	0	3	0.09375	-0.1875	Sewage-specific	Sewage-specific
