feature	sewage_n	transit_n	sewage_prop	transit_prop	overall_n	overall_prop	prevalence_difference	strict_category	association_category
Macrolide phosphotransferases,MPHG	15	0	0.9375	0	15	0.46875	-0.9375	Sewage-specific	Sewage-specific
Aminoglycoside O-nucleotidyltransferases,ANT6	14	0	0.875	0	14	0.4375	-0.875	Sewage-specific	Sewage-specific
Mercury resistance protein,MERF	14	0	0.875	0	14	0.4375	-0.875	Sewage-specific	Sewage-specific
MLS resistance ABC efflux pumps,MSRE	16	3	1	0.1875	19	0.59375	-0.8125	Shared	Sewage-associated
MLS resistance MFS efflux pumps,MEFC	13	0	0.8125	0	13	0.40625	-0.8125	Sewage-specific	Sewage-specific
Class A betalactamases,CTX	16	4	1	0.25	20	0.625	-0.75	Shared	Sewage-associated
Macrolide phosphotransferases,MPHE	15	3	0.9375	0.1875	18	0.5625	-0.75	Shared	Sewage-associated
Tetracycline resistance MFS efflux pumps,TET39	12	0	0.75	0	12	0.375	-0.75	Sewage-specific	Sewage-specific
Arsenic resistance protein,PSTA	11	0	0.6875	0	11	0.34375	-0.6875	Sewage-specific	Sewage-specific
Class A betalactamases,BLAA	11	0	0.6875	0	11	0.34375	-0.6875	Sewage-specific	Sewage-specific
Class C betalactamases,MCA	11	0	0.6875	0	11	0.34375	-0.6875	Sewage-specific	Sewage-specific
Copper resistance protein,COPA	14	3	0.875	0.1875	17	0.53125	-0.6875	Shared	Sewage-associated
Drug and biocide RND efflux regulator,CRP	11	0	0.6875	0	11	0.34375	-0.6875	Sewage-specific	Sewage-specific
Lincosamide nucleotidyltransferases,LNUC	11	0	0.6875	0	11	0.34375	-0.6875	Sewage-specific	Sewage-specific
Multi-metal RND efflux regulator,CZCC	11	0	0.6875	0	11	0.34375	-0.6875	Sewage-specific	Sewage-specific
Tetracycline transcriptional repressor,TETR	15	4	0.9375	0.25	19	0.59375	-0.6875	Shared	Sewage-associated
23S rRNA methyltransferases,ERMB	10	0	0.625	0	10	0.3125	-0.625	Sewage-specific	Sewage-specific
Aminocoumarin-resistant DNA topoisomerases,GYRBA	10	0	0.625	0	10	0.3125	-0.625	Sewage-specific	Sewage-specific
Arsenic resistance protein,PSTB	12	2	0.75	0.125	14	0.4375	-0.625	Shared	Sewage-associated
Copper resistance regulator,COPS	10	0	0.625	0	10	0.3125	-0.625	Sewage-specific	Sewage-specific
