Profile	City	Environment
Lisbon_Sewage	Lisbon	Sewage
Barcelona_Sewage	Barcelona	Sewage
Berlin_Sewage	Berlin	Sewage
Hong_Kong_Sewage	Hong_Kong	Sewage
Porto_Sewage	Porto	Sewage
Santiago_Sewage	Santiago	Sewage
Singapore_Sewage	Singapore	Sewage
Sofia_Sewage	Sofia	Sewage
Taipei_Sewage	Taipei	Sewage
Vienna_Sewage	Vienna	Sewage
Bogota_Sewage	Bogota	Sewage
Hanoi_Sewage	Hanoi	Sewage
Ilorin_Sewage	Ilorin	Sewage
Kuala_Lumpur_Sewage	Kuala_Lumpur	Sewage
Oslo_Sewage	Oslo	Sewage
Rio_de_Janeiro_Sewage	Rio_de_Janeiro	Sewage
Barcelona_Transit	Barcelona	Transit
Berlin_Transit	Berlin	Transit
Bogota_Transit	Bogota	Transit
Hanoi_Transit	Hanoi	Transit
Hong_Kong_Transit	Hong_Kong	Transit
Ilorin_Transit	Ilorin	Transit
Kuala_Lumpur_Transit	Kuala_Lumpur	Transit
Lisbon_Transit	Lisbon	Transit
Oslo_Transit	Oslo	Transit
Porto_Transit	Porto	Transit
Rio_de_Janeiro_Transit	Rio_de_Janeiro	Transit
Santiago_Transit	Santiago	Transit
Singapore_Transit	Singapore	Transit
Sofia_Transit	Sofia	Transit
Taipei_Transit	Taipei	Transit
Vienna_Transit	Vienna	Transit
